"SCHOOL_YEAR","n","percent_offering","mean","sd","min","max"
"2020-2021",24531,50.8947861889038,3.0421507480331,6.2966430470454,0,185
"2021-2022",25144,51.5987909640471,3.10380209990455,7.89776549272258,0,410
