"SCHOOL_YEAR","n","zero_n","zero_pct","oneplus_n","oneplus_pct","mean","sd","min","max"
"2020-2021",24531,12046,49.1,12485,50.9,3.04,6.3,0,185
"2021-2022",25144,12170,48.4,12974,51.6,3.1,7.9,0,410
