"SCHOOL_YEAR","Category","Count","Percent"
"2020-2021","Female",7551926,"49.05"
"2020-2021","Male",7844772,"50.95"
"2021-2022","Female",7891584,"49.03"
"2021-2022","Male",8204415,"50.97"
