"SCHOOL_YEAR","State_Code","CS_Status","Count","Percent"
"2021-2022","CO","At Least One CS Class",349,65.6
"2021-2022","CO","No CS Classes",183,34.4
"2021-2022","CT","At Least One CS Class",154,77
"2021-2022","CT","No CS Classes",46,23
"2021-2022","DC","At Least One CS Class",24,55.81
"2021-2022","DC","No CS Classes",19,44.19
"2021-2022","DE","At Least One CS Class",32,55.17
"2021-2022","DE","No CS Classes",26,44.83
"2021-2022","FL","At Least One CS Class",248,22.12
"2021-2022","FL","No CS Classes",873,77.88
"2021-2022","GA","At Least One CS Class",364,70.27
"2021-2022","GA","No CS Classes",154,29.73
"2021-2022","HI","At Least One CS Class",42,61.76
"2021-2022","HI","No CS Classes",26,38.24
"2021-2022","IA","At Least One CS Class",313,86.46
"2021-2022","IA","No CS Classes",49,13.54
"2021-2022","ID","At Least One CS Class",102,39.53
"2021-2022","ID","No CS Classes",156,60.47
"2021-2022","IL","At Least One CS Class",443,60.68
"2021-2022","IL","No CS Classes",287,39.32
"2021-2022","IN","At Least One CS Class",313,70.34
"2021-2022","IN","No CS Classes",132,29.66
"2021-2022","KS","At Least One CS Class",182,45.61
"2021-2022","KS","No CS Classes",217,54.39
"2021-2022","KY","At Least One CS Class",239,59.6
"2021-2022","KY","No CS Classes",162,40.4
"2021-2022","LA","At Least One CS Class",143,37.63
"2021-2022","LA","No CS Classes",237,62.37
"2021-2022","MA","At Least One CS Class",307,75.06
"2021-2022","MA","No CS Classes",102,24.94
"2021-2022","MD","At Least One CS Class",215,80.52
"2021-2022","MD","No CS Classes",52,19.48
"2021-2022","ME","At Least One CS Class",61,49.19
"2021-2022","ME","No CS Classes",63,50.81
"2021-2022","MI","At Least One CS Class",431,35.83
"2021-2022","MI","No CS Classes",772,64.17
"2021-2022","MN","At Least One CS Class",217,25.29
"2021-2022","MN","No CS Classes",641,74.71
"2021-2022","MO","At Least One CS Class",287,47.2
"2021-2022","MO","No CS Classes",321,52.8
"2021-2022","MS","At Least One CS Class",144,59.02
"2021-2022","MS","No CS Classes",100,40.98
"2021-2022","MT","At Least One CS Class",101,53.44
"2021-2022","MT","No CS Classes",88,46.56
"2021-2022","NC","At Least One CS Class",513,71.45
"2021-2022","NC","No CS Classes",205,28.55
"2021-2022","ND","At Least One CS Class",74,42.29
"2021-2022","ND","No CS Classes",101,57.71
"2021-2022","NE","At Least One CS Class",206,76.87
"2021-2022","NE","No CS Classes",62,23.13
"2021-2022","NH","At Least One CS Class",66,68.75
"2021-2022","NH","No CS Classes",30,31.25
"2021-2022","NJ","At Least One CS Class",332,62.76
"2021-2022","NJ","No CS Classes",197,37.24
"2021-2022","NM","At Least One CS Class",94,41.05
"2021-2022","NM","No CS Classes",135,58.95
"2021-2022","NV","At Least One CS Class",126,73.68
"2021-2022","NV","No CS Classes",45,26.32
"2021-2022","NY","At Least One CS Class",512,57.59
"2021-2022","NY","No CS Classes",377,42.41
"2021-2022","OH","At Least One CS Class",589,56.91
"2021-2022","OH","No CS Classes",446,43.09
"2021-2022","OK","At Least One CS Class",365,73.15
"2021-2022","OK","No CS Classes",134,26.85
"2021-2022","OR","At Least One CS Class",152,43.06
"2021-2022","OR","No CS Classes",201,56.94
"2021-2022","PA","At Least One CS Class",486,66.39
"2021-2022","PA","No CS Classes",246,33.61
"2021-2022","PR","At Least One CS Class",104,44.44
"2021-2022","PR","No CS Classes",130,55.56
"2021-2022","RI","At Least One CS Class",50,79.37
"2021-2022","RI","No CS Classes",13,20.63
"2021-2022","SC","At Least One CS Class",218,80.74
"2021-2022","SC","No CS Classes",52,19.26
"2021-2022","SD","At Least One CS Class",102,52.31
"2021-2022","SD","No CS Classes",93,47.69
"2021-2022","TN","At Least One CS Class",223,48.9
"2021-2022","TN","No CS Classes",233,51.1
"2021-2022","TX","At Least One CS Class",1116,47.73
"2021-2022","TX","No CS Classes",1222,52.27
"2021-2022","UT","At Least One CS Class",196,62.42
"2021-2022","UT","No CS Classes",118,37.58
"2021-2022","VA","At Least One CS Class",252,75.22
"2021-2022","VA","No CS Classes",83,24.78
"2021-2022","VT","At Least One CS Class",30,53.57
"2021-2022","VT","No CS Classes",26,46.43
"2021-2022","WA","At Least One CS Class",279,39.35
"2021-2022","WA","No CS Classes",430,60.65
"2021-2022","WI","At Least One CS Class",264,43.49
"2021-2022","WI","No CS Classes",343,56.51
"2021-2022","WV","At Least One CS Class",82,61.65
"2021-2022","WV","No CS Classes",51,38.35
"2021-2022","WY","At Least One CS Class",57,57
"2021-2022","WY","No CS Classes",43,43
