"SCHOOL_YEAR","Category","Count","Percent"
"2020-2021","Mixed",3695,15.06
"2020-2021","Not_TitleI",7466,30.43
"2020-2021","Schoolwide",10037,40.92
"2020-2021","Targeted",3333,13.59
"2021-2022","Mixed",2749,10.93
"2021-2022","Not_TitleI",8179,32.53
"2021-2022","Schoolwide",10524,41.85
"2021-2022","Targeted",3692,14.68
