"SCHOOL_YEAR","Category","Count","Percent"
"2020-2021","Elementary",4294,17.5
"2020-2021","Middle",8908,36.31
"2020-2021","High",24446,99.65
"2021-2022","Elementary",4145,16.49
"2021-2022","Middle",9491,37.75
"2021-2022","High",24999,99.42
